area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Jayanagar,4 Bedroom,Society E,1190,2,1,7940.53
Plot  Area,Under Construction,HSR Layout,4 Bedroom,Society E,1547,5,0,9133.26
Carpet  Area,Ready To Move,Marathahalli,4 BHK,Society A,1569,5,0,6318.89
Carpet  Area,Immediate Possession,BTM Layout,2 BHK,Society D,1195,3,1,8113.1
Plot  Area,Under Construction,Koramangala,3 Bedroom,Society C,1366,1,1,10703.75
Carpet  Area,Immediate Possession,Koramangala,2 Bedroom,Society D,838,2,1,5594.9
Plot  Area,Under Construction,Marathahalli,2 BHK,Society D,701,1,0,3521.07
Built-up  Area,Ready To Move,Jayanagar,4 Bedroom,Society C,1744,3,1,13409.83
Super built-up  Area,Ready To Move,Indira Nagar,4 Bedroom,Society C,1545,3,1,8880.07
Carpet  Area,Under Construction,BTM Layout,1 Bedroom,Society C,1593,1,1,7111.64
Plot  Area,Ready To Move,Jayanagar,2 BHK,Society A,1572,2,2,8895.8
Carpet  Area,Immediate Possession,Whitefield,5 BHK,Society C,1696,4,3,11582.1
Super built-up  Area,Immediate Possession,Whitefield,1 Bedroom,Society A,984,5,0,4737.32
Carpet  Area,Ready To Move,BTM Layout,5 BHK,Society A,1217,2,1,6230.46
Carpet  Area,Ready To Move,Marathahalli,2 BHK,Society A,1498,3,0,5387.88
Plot  Area,Under Construction,Electronic City,1 Bedroom,Society C,1236,4,0,5941.13
Plot  Area,Ready To Move,Marathahalli,1 BHK,Society C,767,5,3,3345.02
Super built-up  Area,Ready To Move,Jayanagar,5 Bedroom,Society A,1457,1,3,7469.09
Carpet  Area,Under Construction,Marathahalli,1 Bedroom,Society D,1591,1,2,9222.17
Carpet  Area,Ready To Move,Indira Nagar,1 Bedroom,Society A,1140,1,3,7302.55
Carpet  Area,Under Construction,Koramangala,4 Bedroom,Society D,1842,4,2,17056.3
Carpet  Area,Ready To Move,Whitefield,5 BHK,Society A,1417,2,1,5500.83
Carpet  Area,Ready To Move,Electronic City,1 BHK,Society D,1019,1,2,4459.57
Carpet  Area,Under Construction,Marathahalli,2 Bedroom,Society B,1573,4,1,5649.7
Super built-up  Area,Under Construction,Jayanagar,1 Bedroom,Society C,1454,2,0,12669.79
Carpet  Area,Under Construction,Marathahalli,1 Bedroom,Society D,1325,1,1,8491.82
Built-up  Area,Immediate Possession,Electronic City,5 Bedroom,Society D,1204,3,2,6265.83
Built-up  Area,Immediate Possession,Marathahalli,5 BHK,Society A,1551,3,1,9220.84
Carpet  Area,Under Construction,HSR Layout,2 Bedroom,Society B,736,5,1,4757.02
Built-up  Area,Ready To Move,Indira Nagar,3 BHK,Society E,1080,2,3,10481.03
Plot  Area,Immediate Possession,Indira Nagar,4 BHK,Society E,1813,4,1,16184.46
Built-up  Area,Under Construction,BTM Layout,2 BHK,Society D,952,2,1,6173.49
Plot  Area,Immediate Possession,Whitefield,3 BHK,Society A,970,5,2,6784.83
Plot  Area,Immediate Possession,HSR Layout,5 BHK,Society D,1381,4,0,11217.16
Plot  Area,Ready To Move,Whitefield,5 Bedroom,Society A,1346,5,0,6559.95
Super built-up  Area,Immediate Possession,HSR Layout,5 BHK,Society C,1408,2,2,10687.48
Built-up  Area,Under Construction,Koramangala,2 BHK,Society C,775,1,2,6709.88
Carpet  Area,Immediate Possession,Marathahalli,4 Bedroom,Society A,1491,3,2,8551.24
Built-up  Area,Under Construction,BTM Layout,3 BHK,Society B,1683,5,3,9171.13
Carpet  Area,Ready To Move,BTM Layout,2 Bedroom,Society C,1087,5,2,7515.84
Built-up  Area,Under Construction,BTM Layout,1 Bedroom,Society C,1584,5,1,11285.9
Carpet  Area,Immediate Possession,Whitefield,2 BHK,Society A,1290,3,1,5779.02
Plot  Area,Ready To Move,Koramangala,4 BHK,Society E,965,5,3,6357.03
Super built-up  Area,Under Construction,Electronic City,3 BHK,Society C,1785,5,2,6835.9
Carpet  Area,Under Construction,Marathahalli,5 Bedroom,Society C,1616,1,0,5854.64
Built-up  Area,Immediate Possession,Koramangala,5 Bedroom,Society E,1412,3,1,9886.68
Built-up  Area,Immediate Possession,BTM Layout,4 Bedroom,Society D,1710,4,3,12919.77
Built-up  Area,Ready To Move,Koramangala,3 Bedroom,Society E,1417,2,3,14378.26
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Society A,1431,5,2,10096.32
Super built-up  Area,Immediate Possession,Marathahalli,2 Bedroom,Society D,1490,2,3,8690.06
Super built-up  Area,Immediate Possession,Indira Nagar,2 Bedroom,Society D,869,1,2,7517.83
Built-up  Area,Immediate Possession,BTM Layout,3 BHK,Society E,1045,4,1,5240.64
Plot  Area,Ready To Move,Whitefield,5 BHK,Society E,1840,1,2,8534.77
Built-up  Area,Ready To Move,Indira Nagar,2 BHK,Society E,1400,3,2,11928.3
Super built-up  Area,Immediate Possession,HSR Layout,4 Bedroom,Society A,1680,4,1,12229.39
Super built-up  Area,Immediate Possession,Indira Nagar,4 Bedroom,Society C,1326,3,1,8672.48
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Society E,1552,2,3,7902.95
Super built-up  Area,Ready To Move,Jayanagar,2 Bedroom,Society B,919,5,0,6824.42
Built-up  Area,Immediate Possession,Marathahalli,4 BHK,Society E,1569,3,3,9617.91
Built-up  Area,Immediate Possession,Indira Nagar,5 BHK,Society C,1355,2,1,9704.68
Carpet  Area,Immediate Possession,Electronic City,1 Bedroom,Society E,694,1,0,2524.79
Built-up  Area,Ready To Move,BTM Layout,2 BHK,Society A,1057,4,0,4602.65
Built-up  Area,Immediate Possession,Koramangala,3 Bedroom,Society B,1470,1,2,14646.74
Super built-up  Area,Ready To Move,BTM Layout,5 Bedroom,Society A,1206,3,1,5323.58
Carpet  Area,Ready To Move,Marathahalli,1 Bedroom,Society B,760,4,3,2845.0
Super built-up  Area,Immediate Possession,BTM Layout,5 Bedroom,Society E,1825,2,0,9793.75
Built-up  Area,Immediate Possession,Electronic City,4 BHK,Society C,1293,1,2,7315.23
Plot  Area,Ready To Move,BTM Layout,5 BHK,Society C,1321,2,1,6447.18
Built-up  Area,Under Construction,HSR Layout,4 Bedroom,Society D,956,1,3,8048.52
Super built-up  Area,Immediate Possession,BTM Layout,5 Bedroom,Society A,1813,4,3,8205.85
Built-up  Area,Immediate Possession,Marathahalli,2 BHK,Society E,922,1,3,4538.09
Super built-up  Area,Ready To Move,Indira Nagar,4 BHK,Society B,1457,2,3,11936.08
Carpet  Area,Ready To Move,BTM Layout,2 BHK,Society D,961,5,3,5106.3
Built-up  Area,Ready To Move,Whitefield,1 Bedroom,Society C,685,5,1,4481.72
Built-up  Area,Under Construction,HSR Layout,2 BHK,Society D,1598,5,1,8148.25
Carpet  Area,Ready To Move,HSR Layout,4 Bedroom,Society A,954,2,0,6365.71
Carpet  Area,Immediate Possession,Koramangala,2 Bedroom,Society E,1669,5,0,11062.91
Super built-up  Area,Under Construction,Marathahalli,3 BHK,Society A,1755,5,0,7953.56
Built-up  Area,Under Construction,Electronic City,1 BHK,Society A,1597,2,0,8712.59
Plot  Area,Ready To Move,Indira Nagar,5 Bedroom,Society D,1638,5,1,11712.21
Carpet  Area,Ready To Move,Electronic City,2 BHK,Society C,1649,1,1,7202.26
Super built-up  Area,Immediate Possession,Marathahalli,2 BHK,Society E,896,5,1,5595.0
Plot  Area,Immediate Possession,Whitefield,1 BHK,Society D,1206,3,2,7235.41
Plot  Area,Under Construction,Indira Nagar,2 BHK,Society A,1601,5,0,14997.07
Carpet  Area,Under Construction,Jayanagar,2 Bedroom,Society D,738,4,0,6698.82
Super built-up  Area,Immediate Possession,Koramangala,5 BHK,Society B,1340,2,2,12623.17
Carpet  Area,Ready To Move,Marathahalli,3 Bedroom,Society D,889,3,1,4115.73
Plot  Area,Ready To Move,HSR Layout,1 Bedroom,Society E,1567,4,2,8814.25
Carpet  Area,Ready To Move,Marathahalli,3 BHK,Society C,1755,5,0,7533.67
Plot  Area,Ready To Move,Marathahalli,5 Bedroom,Society E,1024,2,3,6045.59
Super built-up  Area,Immediate Possession,BTM Layout,2 BHK,Society C,950,3,2,6223.49
Carpet  Area,Under Construction,Koramangala,1 BHK,Society A,1325,3,3,13752.12
Super built-up  Area,Ready To Move,Koramangala,2 Bedroom,Society E,717,3,0,5085.72
Plot  Area,Ready To Move,Jayanagar,5 BHK,Society C,1135,3,0,5966.98
Built-up  Area,Immediate Possession,Indira Nagar,3 BHK,Society B,1154,2,3,10354.59
Built-up  Area,Ready To Move,Electronic City,1 Bedroom,Society C,1023,3,1,4092.94
Built-up  Area,Ready To Move,Whitefield,3 Bedroom,Society A,1776,1,3,10651.47
Built-up  Area,Ready To Move,Koramangala,5 BHK,Society D,1011,5,1,10492.05
Carpet  Area,Ready To Move,Marathahalli,3 Bedroom,Society A,1383,3,3,7023.98
Super built-up  Area,Under Construction,Whitefield,2 BHK,Society B,1078,1,1,6228.27
Built-up  Area,Immediate Possession,Jayanagar,5 BHK,Society A,1583,1,2,9700.45
Super built-up  Area,Under Construction,Koramangala,4 Bedroom,Society E,982,4,2,9280.54
Carpet  Area,Under Construction,Indira Nagar,3 BHK,Society C,1292,3,0,11687.54
Plot  Area,Under Construction,HSR Layout,5 BHK,Society D,1427,5,0,9290.85
Built-up  Area,Immediate Possession,Marathahalli,2 Bedroom,Society A,944,5,0,4857.58
Plot  Area,Under Construction,Electronic City,2 Bedroom,Society E,1569,2,2,8769.82
Super built-up  Area,Under Construction,Indira Nagar,3 BHK,Society A,1442,2,1,12802.64
Carpet  Area,Under Construction,Jayanagar,3 Bedroom,Society A,1106,2,2,7353.02
Carpet  Area,Immediate Possession,Whitefield,4 BHK,Society A,1685,5,2,8592.21
Plot  Area,Ready To Move,Koramangala,4 BHK,Society A,920,4,1,7443.99
Carpet  Area,Ready To Move,Indira Nagar,4 BHK,Society A,1182,5,0,7537.22
Carpet  Area,Immediate Possession,BTM Layout,3 Bedroom,Society B,830,2,3,4854.15
Plot  Area,Immediate Possession,Indira Nagar,1 BHK,Society B,1354,4,0,10060.85
Plot  Area,Under Construction,Electronic City,1 Bedroom,Society D,880,2,0,3234.63
Carpet  Area,Immediate Possession,BTM Layout,2 BHK,Society E,1524,1,2,9843.38
Super built-up  Area,Immediate Possession,Koramangala,3 BHK,Society D,807,4,3,6979.25
Built-up  Area,Under Construction,Jayanagar,5 BHK,Society B,1590,1,0,13491.41
Carpet  Area,Under Construction,Koramangala,1 Bedroom,Society A,620,1,0,5939.17
Carpet  Area,Under Construction,BTM Layout,3 Bedroom,Society D,1075,1,3,7438.1
Super built-up  Area,Under Construction,Electronic City,5 BHK,Society D,1938,5,3,7372.6
Plot  Area,Immediate Possession,BTM Layout,4 BHK,Society C,1305,4,0,7351.97
Plot  Area,Under Construction,HSR Layout,4 Bedroom,Society D,1271,4,3,6713.09
Carpet  Area,Immediate Possession,Whitefield,3 BHK,Society D,1118,3,1,7918.4
Plot  Area,Immediate Possession,Marathahalli,2 Bedroom,Society D,1188,1,1,7481.53
Plot  Area,Under Construction,BTM Layout,4 BHK,Society C,1716,1,1,10610.88
Plot  Area,Ready To Move,Marathahalli,5 Bedroom,Society E,1784,4,3,10996.58
Plot  Area,Ready To Move,Koramangala,2 BHK,Society D,811,4,2,5761.48
Built-up  Area,Immediate Possession,Koramangala,4 BHK,Society D,1044,2,3,7304.66
Built-up  Area,Under Construction,Marathahalli,1 Bedroom,Society C,1031,3,2,5591.18
Built-up  Area,Immediate Possession,Marathahalli,1 Bedroom,Society B,1304,4,1,7763.36
Super built-up  Area,Ready To Move,Marathahalli,1 BHK,Society B,1151,4,1,6624.8
Super built-up  Area,Under Construction,Jayanagar,4 BHK,Society C,1221,1,0,9794.87
Built-up  Area,Immediate Possession,Marathahalli,2 BHK,Society A,1582,3,2,7757.71
Carpet  Area,Under Construction,Marathahalli,5 Bedroom,Society D,1788,2,3,10962.91
Carpet  Area,Ready To Move,HSR Layout,1 BHK,Society C,1322,5,1,9275.89
Super built-up  Area,Immediate Possession,Electronic City,1 Bedroom,Society E,1571,5,2,6999.85
Carpet  Area,Ready To Move,HSR Layout,2 BHK,Society D,1041,5,3,6195.2
Carpet  Area,Under Construction,Koramangala,5 BHK,Society A,1072,4,3,9964.62
Carpet  Area,Under Construction,BTM Layout,1 BHK,Society C,1100,5,1,5281.98
Carpet  Area,Under Construction,HSR Layout,5 BHK,Society E,1398,4,0,10223.75
Carpet  Area,Ready To Move,Jayanagar,1 Bedroom,Society E,778,1,0,5894.65
Super built-up  Area,Immediate Possession,Whitefield,1 Bedroom,Society D,1501,3,0,6286.83
Carpet  Area,Ready To Move,Whitefield,2 BHK,Society B,1229,3,2,5826.94
Carpet  Area,Ready To Move,Marathahalli,4 Bedroom,Society C,1610,4,1,8144.8
Built-up  Area,Ready To Move,Jayanagar,4 BHK,Society C,1782,4,1,15621.7
Super built-up  Area,Ready To Move,Koramangala,4 Bedroom,Society C,1900,1,0,14070.31
Carpet  Area,Immediate Possession,HSR Layout,3 BHK,Society B,836,3,2,4057.69
Built-up  Area,Under Construction,HSR Layout,1 BHK,Society C,1293,2,3,7894.97
Plot  Area,Ready To Move,HSR Layout,5 BHK,Society D,1168,4,3,9240.67
Plot  Area,Under Construction,Indira Nagar,3 Bedroom,Society D,1560,1,0,11566.12
Carpet  Area,Immediate Possession,Electronic City,3 BHK,Society C,1314,2,2,5694.44
Super built-up  Area,Immediate Possession,Jayanagar,5 BHK,Society D,1120,3,1,9890.04
Carpet  Area,Immediate Possession,Koramangala,2 Bedroom,Society B,1637,2,1,11502.96
Built-up  Area,Under Construction,BTM Layout,4 BHK,Society D,1856,5,0,13799.89
Carpet  Area,Immediate Possession,Jayanagar,4 Bedroom,Society D,1137,4,0,9044.56
Carpet  Area,Ready To Move,Electronic City,4 BHK,Society B,982,2,0,3182.48
Carpet  Area,Immediate Possession,HSR Layout,5 Bedroom,Society B,1954,4,2,10013.79
Super built-up  Area,Ready To Move,HSR Layout,4 BHK,Society D,1189,5,2,7117.04
Built-up  Area,Under Construction,Marathahalli,3 Bedroom,Society B,1490,5,2,5849.7
Plot  Area,Immediate Possession,Electronic City,3 BHK,Society E,1187,5,3,5220.44
Super built-up  Area,Ready To Move,Indira Nagar,2 Bedroom,Society D,838,3,3,4698.6
Plot  Area,Under Construction,Jayanagar,2 Bedroom,Society D,1377,3,3,12032.84
Carpet  Area,Ready To Move,HSR Layout,4 BHK,Society B,1445,1,3,10730.27
Carpet  Area,Immediate Possession,Whitefield,4 Bedroom,Society E,1045,5,1,6660.28
Built-up  Area,Ready To Move,BTM Layout,1 Bedroom,Society D,1118,3,2,5680.97
Carpet  Area,Under Construction,Whitefield,1 BHK,Society D,786,5,1,4593.49
Super built-up  Area,Ready To Move,Jayanagar,4 BHK,Society D,1657,1,1,9098.67
Super built-up  Area,Ready To Move,Electronic City,5 Bedroom,Society E,1505,3,0,6707.7
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,Society B,1812,5,0,7808.98
Plot  Area,Ready To Move,HSR Layout,4 Bedroom,Society E,1098,3,2,5163.72
Carpet  Area,Immediate Possession,Whitefield,4 Bedroom,Society E,1127,2,2,4924.97
Carpet  Area,Under Construction,HSR Layout,1 BHK,Society D,992,5,2,6241.73
Plot  Area,Ready To Move,Jayanagar,4 BHK,Society E,1327,5,0,11242.97
Plot  Area,Under Construction,Indira Nagar,5 BHK,Society E,1227,2,1,7811.2
Plot  Area,Under Construction,HSR Layout,1 Bedroom,Society B,1317,5,3,8111.43
Super built-up  Area,Ready To Move,HSR Layout,1 Bedroom,Society D,1079,4,3,7601.88
Built-up  Area,Under Construction,HSR Layout,2 BHK,Society A,723,2,1,3504.84
Built-up  Area,Under Construction,Whitefield,5 BHK,Society B,1195,5,1,4949.3
Built-up  Area,Ready To Move,Marathahalli,3 Bedroom,Society C,1533,1,3,7382.09
Built-up  Area,Under Construction,Indira Nagar,3 Bedroom,Society A,1720,5,1,12071.87
Super built-up  Area,Ready To Move,Marathahalli,1 BHK,Society B,1221,1,2,7809.67
Built-up  Area,Immediate Possession,Jayanagar,1 Bedroom,Society A,1003,1,1,5818.32
Carpet  Area,Immediate Possession,Marathahalli,1 BHK,Society E,1319,3,1,8395.91
Carpet  Area,Ready To Move,Koramangala,2 BHK,Society A,1647,2,1,17066.1
Built-up  Area,Ready To Move,Indira Nagar,2 BHK,Society D,746,4,2,4558.03
Super built-up  Area,Under Construction,BTM Layout,4 Bedroom,Society D,1436,5,0,7926.54
Built-up  Area,Immediate Possession,HSR Layout,2 BHK,Society D,1227,5,0,9622.55
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Society D,1603,1,1,10215.77
Carpet  Area,Ready To Move,HSR Layout,4 BHK,Society B,1414,3,1,6738.83
Built-up  Area,Under Construction,Electronic City,3 Bedroom,Society A,1450,1,2,6897.36
Plot  Area,Under Construction,Jayanagar,5 BHK,Society E,1009,3,3,5956.92
Built-up  Area,Ready To Move,Electronic City,4 Bedroom,Society E,1377,5,0,7747.92
Super built-up  Area,Under Construction,Jayanagar,3 Bedroom,Society B,1221,5,1,9074.91
Plot  Area,Ready To Move,Electronic City,3 Bedroom,Society E,1097,3,2,6269.39
Super built-up  Area,Ready To Move,Koramangala,5 BHK,Society E,1932,1,2,11892.01
Carpet  Area,Ready To Move,BTM Layout,4 BHK,Society B,1332,1,0,10167.0
Carpet  Area,Ready To Move,Electronic City,3 BHK,Society C,1068,2,2,3650.42
Plot  Area,Ready To Move,Koramangala,4 Bedroom,Society A,1258,4,2,9356.95
Carpet  Area,Under Construction,Marathahalli,2 BHK,Society D,1480,4,3,5510.45
Super built-up  Area,Under Construction,HSR Layout,5 Bedroom,Society E,1757,1,3,9033.31
Built-up  Area,Ready To Move,HSR Layout,1 BHK,Society B,1313,3,0,6721.39
Carpet  Area,Ready To Move,Koramangala,4 BHK,Society E,1498,1,2,13078.95
Carpet  Area,Immediate Possession,HSR Layout,2 Bedroom,Society D,1272,4,0,6153.27
Carpet  Area,Under Construction,Jayanagar,2 Bedroom,Society B,819,4,3,6946.39
Plot  Area,Under Construction,Indira Nagar,1 Bedroom,Society E,1552,3,2,8792.08
Carpet  Area,Ready To Move,HSR Layout,1 BHK,Society E,1533,2,2,10698.78
Super built-up  Area,Ready To Move,Jayanagar,3 BHK,Society D,1650,1,2,14871.83
Super built-up  Area,Immediate Possession,Whitefield,2 Bedroom,Society C,1470,2,3,10196.02
Built-up  Area,Ready To Move,Jayanagar,5 BHK,Society B,1675,1,2,11987.72
Super built-up  Area,Under Construction,Electronic City,3 BHK,Society B,1215,4,3,5783.21
Plot  Area,Under Construction,Electronic City,1 Bedroom,Society E,1244,3,0,6134.87
Built-up  Area,Immediate Possession,Jayanagar,5 BHK,Society C,1737,2,2,15266.26
Super built-up  Area,Immediate Possession,Electronic City,2 Bedroom,Society D,811,5,1,2929.6
Built-up  Area,Under Construction,HSR Layout,4 BHK,Society D,1127,4,2,5649.05
Super built-up  Area,Ready To Move,Jayanagar,1 BHK,Society E,1398,4,1,7444.35
Super built-up  Area,Under Construction,HSR Layout,5 BHK,Society B,1336,4,3,11129.11
Carpet  Area,Ready To Move,Whitefield,1 Bedroom,Society E,1356,5,0,6273.24
Carpet  Area,Ready To Move,Koramangala,5 BHK,Society D,1122,1,1,8710.49
Built-up  Area,Immediate Possession,HSR Layout,2 BHK,Society D,978,2,0,5477.89
Built-up  Area,Under Construction,Electronic City,5 BHK,Society D,1630,1,2,8548.47
Plot  Area,Under Construction,Marathahalli,2 BHK,Society C,1538,3,3,7576.72
Built-up  Area,Ready To Move,HSR Layout,1 Bedroom,Society B,716,5,2,3495.97
Super built-up  Area,Ready To Move,Indira Nagar,1 BHK,Society E,996,4,3,8553.92
Built-up  Area,Immediate Possession,Indira Nagar,3 Bedroom,Society E,1279,2,3,8436.71
Plot  Area,Ready To Move,Marathahalli,2 BHK,Society C,1575,5,0,9979.23
Carpet  Area,Ready To Move,HSR Layout,1 Bedroom,Society C,763,1,1,5514.27
Built-up  Area,Ready To Move,Koramangala,3 BHK,Society C,1720,4,2,17109.74
Built-up  Area,Ready To Move,HSR Layout,1 Bedroom,Society E,1246,2,0,7684.84
Super built-up  Area,Under Construction,BTM Layout,5 BHK,Society E,1397,5,0,10240.77
Built-up  Area,Under Construction,Jayanagar,3 Bedroom,Society D,1060,1,3,9169.17
Built-up  Area,Immediate Possession,Electronic City,2 BHK,Society C,1362,5,2,7792.16
Carpet  Area,Immediate Possession,HSR Layout,4 Bedroom,Society A,1643,1,3,10497.73
Super built-up  Area,Under Construction,Koramangala,5 BHK,Society B,1215,3,0,8094.0
Built-up  Area,Under Construction,BTM Layout,4 BHK,Society B,1551,2,3,8551.33
Super built-up  Area,Under Construction,Jayanagar,4 Bedroom,Society B,1515,1,0,8559.6
Plot  Area,Ready To Move,BTM Layout,1 BHK,Society D,730,1,3,4905.73
Built-up  Area,Ready To Move,Marathahalli,5 Bedroom,Society A,1434,2,2,7679.43
Built-up  Area,Immediate Possession,BTM Layout,4 Bedroom,Society C,1347,3,3,6978.15
Super built-up  Area,Under Construction,HSR Layout,5 BHK,Society B,1366,1,2,10357.22
Super built-up  Area,Immediate Possession,Jayanagar,2 BHK,Society D,794,4,0,4888.29
Built-up  Area,Under Construction,Marathahalli,5 Bedroom,Society E,1838,3,0,7102.45
Super built-up  Area,Under Construction,Marathahalli,3 Bedroom,Society C,1783,2,0,10891.99
Carpet  Area,Under Construction,HSR Layout,4 Bedroom,Society E,1583,1,3,12789.44
Plot  Area,Ready To Move,Electronic City,4 Bedroom,Society E,1569,3,1,7029.08
Super built-up  Area,Under Construction,Electronic City,2 BHK,Society A,863,5,1,4638.12
Super built-up  Area,Under Construction,HSR Layout,2 BHK,Society E,770,5,3,5631.22
Built-up  Area,Under Construction,Marathahalli,2 Bedroom,Society D,786,2,0,3982.24
Built-up  Area,Immediate Possession,Koramangala,3 Bedroom,Society B,1488,4,1,14052.82
Plot  Area,Ready To Move,HSR Layout,5 Bedroom,Society A,1108,2,3,8732.62
Plot  Area,Immediate Possession,Koramangala,5 Bedroom,Society D,1226,5,1,9751.63
Plot  Area,Ready To Move,Whitefield,4 BHK,Society A,1439,1,1,8555.94
Carpet  Area,Ready To Move,HSR Layout,3 BHK,Society E,1549,4,0,7309.67
Super built-up  Area,Under Construction,Jayanagar,2 Bedroom,Society C,1117,2,2,8184.11
Plot  Area,Immediate Possession,HSR Layout,4 Bedroom,Society B,1108,5,3,8737.34
Carpet  Area,Ready To Move,Koramangala,2 BHK,Society B,885,4,0,7490.93
Built-up  Area,Under Construction,Jayanagar,2 BHK,Society C,1236,3,3,6245.74
Plot  Area,Immediate Possession,Whitefield,2 BHK,Society E,1391,5,0,6094.75
Super built-up  Area,Under Construction,BTM Layout,2 Bedroom,Society A,1212,1,0,7006.41
Carpet  Area,Immediate Possession,Electronic City,1 BHK,Society D,613,1,0,2422.04
Super built-up  Area,Under Construction,Koramangala,1 Bedroom,Society E,906,4,3,5352.57
Plot  Area,Immediate Possession,Electronic City,2 Bedroom,Society E,1120,4,2,4240.16
Super built-up  Area,Under Construction,Marathahalli,2 Bedroom,Society A,1122,1,2,6497.62
Super built-up  Area,Ready To Move,Marathahalli,3 Bedroom,Society E,1579,2,2,6769.76
Carpet  Area,Immediate Possession,Koramangala,4 Bedroom,Society D,1208,5,1,10548.34
Built-up  Area,Ready To Move,Marathahalli,3 BHK,Society C,1411,2,1,8266.48
Carpet  Area,Immediate Possession,Koramangala,2 BHK,Society E,1331,4,3,7917.37
Super built-up  Area,Under Construction,BTM Layout,5 Bedroom,Society A,1721,5,0,10739.41
Plot  Area,Under Construction,Jayanagar,4 Bedroom,Society A,1356,1,3,12267.53
Plot  Area,Ready To Move,Marathahalli,3 Bedroom,Society B,1707,2,3,10904.72
Carpet  Area,Immediate Possession,Electronic City,4 Bedroom,Society C,1708,5,1,6296.27
Plot  Area,Immediate Possession,Koramangala,3 Bedroom,Society E,1743,1,0,9788.36
Plot  Area,Immediate Possession,Indira Nagar,4 BHK,Society D,1629,5,0,14059.83
Super built-up  Area,Ready To Move,Indira Nagar,3 Bedroom,Society D,807,3,3,4383.72
Plot  Area,Under Construction,Indira Nagar,2 BHK,Society E,1051,5,0,9980.73
Built-up  Area,Under Construction,HSR Layout,4 BHK,Society D,1358,1,0,9182.59
Built-up  Area,Immediate Possession,Whitefield,1 BHK,Society D,1581,4,1,9480.23
Carpet  Area,Immediate Possession,Jayanagar,4 Bedroom,Society D,1460,5,1,7904.01
Built-up  Area,Under Construction,Electronic City,4 Bedroom,Society C,1290,2,3,7313.44
Carpet  Area,Ready To Move,Marathahalli,5 Bedroom,Society E,1403,1,0,8614.77
Built-up  Area,Ready To Move,Whitefield,2 Bedroom,Society E,1550,1,2,8463.94
Built-up  Area,Immediate Possession,Whitefield,3 Bedroom,Society E,1677,5,3,7694.38
Carpet  Area,Immediate Possession,Marathahalli,4 BHK,Society C,1068,4,2,6671.05
Carpet  Area,Under Construction,Electronic City,3 Bedroom,Society D,1073,1,2,4744.42
Plot  Area,Immediate Possession,Jayanagar,1 Bedroom,Society C,988,1,3,8606.65
Built-up  Area,Ready To Move,Koramangala,5 BHK,Society C,1576,1,1,9745.53
Built-up  Area,Under Construction,Jayanagar,4 Bedroom,Society B,1057,4,3,6996.32
Super built-up  Area,Ready To Move,HSR Layout,5 BHK,Society A,1419,1,1,6654.83
Built-up  Area,Immediate Possession,Electronic City,4 BHK,Society C,1206,3,1,4754.38
Plot  Area,Under Construction,Indira Nagar,5 BHK,Society A,1522,2,3,13751.83
Super built-up  Area,Under Construction,Whitefield,3 Bedroom,Society E,1597,1,0,10327.4
Built-up  Area,Immediate Possession,Jayanagar,4 Bedroom,Society E,1716,2,0,11891.51
Carpet  Area,Immediate Possession,Whitefield,5 BHK,Society C,1286,2,1,5365.74
Plot  Area,Under Construction,Whitefield,3 Bedroom,Society E,1595,5,1,6711.64
Plot  Area,Under Construction,Electronic City,1 Bedroom,Society E,900,4,3,4003.42
Carpet  Area,Under Construction,Marathahalli,4 Bedroom,Society C,1460,3,0,9215.02
Carpet  Area,Immediate Possession,Whitefield,3 BHK,Society B,1622,4,0,11134.72
Carpet  Area,Ready To Move,Koramangala,3 BHK,Society C,1132,1,1,8412.08
Super built-up  Area,Immediate Possession,Whitefield,5 BHK,Society A,1014,4,2,6809.88
Carpet  Area,Ready To Move,Electronic City,4 Bedroom,Society D,1597,4,1,6613.51
Plot  Area,Ready To Move,Marathahalli,5 BHK,Society E,1967,2,3,8855.32
Built-up  Area,Under Construction,Electronic City,4 Bedroom,Society C,1290,2,2,4383.85
Built-up  Area,Ready To Move,Marathahalli,1 BHK,Society A,1377,2,3,7462.52
Super built-up  Area,Immediate Possession,Koramangala,4 BHK,Society C,1468,4,1,10354.1
Built-up  Area,Immediate Possession,Whitefield,1 BHK,Society D,1221,1,0,6499.32
Super built-up  Area,Immediate Possession,Jayanagar,2 Bedroom,Society B,945,3,2,7079.39
Plot  Area,Immediate Possession,Koramangala,1 BHK,Society A,1461,2,2,8416.96
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Society D,900,1,3,8281.96
Built-up  Area,Under Construction,HSR Layout,5 BHK,Society B,1745,2,2,8234.39
Carpet  Area,Immediate Possession,Jayanagar,3 Bedroom,Society A,1149,5,2,6848.84
Super built-up  Area,Ready To Move,Jayanagar,5 BHK,Society B,1024,4,1,5702.38
Built-up  Area,Immediate Possession,Electronic City,2 BHK,Society E,1030,1,1,4217.86
Built-up  Area,Immediate Possession,Indira Nagar,5 Bedroom,Society E,1351,2,1,12928.68
Plot  Area,Ready To Move,Electronic City,2 BHK,Society B,1036,5,2,4200.78
