,location,total_sqft,bath,balcony,price,bedrooms
617,Marathahalli,739,5,2,4697.59,1
618,Indira Nagar,1373,1,3,11508.38,4
619,BTM Layout,1517,3,0,9752.13,3
620,Marathahalli,1070,1,0,4056.18,5
621,Whitefield,1327,3,2,6231.27,4
622,HSR Layout,1753,5,3,12126.76,3
623,Indira Nagar,1451,4,0,7703.32,2
624,Electronic City,1525,4,1,5031.01,1
625,Jayanagar,1411,1,3,9736.1,2
626,Electronic City,1453,4,0,8201.09,4
627,Marathahalli,1763,4,0,11222.53,4
628,Whitefield,1062,2,0,7293.39,5
629,HSR Layout,941,1,0,4348.68,3
630,Indira Nagar,692,3,1,4123.78,1
631,Electronic City,812,4,0,4039.64,3
632,HSR Layout,1728,2,2,14358.2,5
633,Marathahalli,999,3,3,4428.94,3
634,BTM Layout,1285,1,1,9926.08,4
635,Koramangala,1503,1,3,11790.15,5
636,HSR Layout,1617,4,1,8327.36,2
637,Koramangala,1364,2,2,13663.68,4
638,Jayanagar,1399,5,1,8575.48,1
639,Whitefield,992,4,2,5553.18,2
640,Whitefield,1142,2,2,6162.26,4
641,BTM Layout,1081,1,3,4862.74,1
642,BTM Layout,1708,4,3,11424.1,5
643,Whitefield,1085,5,3,6522.29,2
644,Electronic City,1517,1,2,6681.47,4
645,Indira Nagar,1156,2,3,8046.71,2
646,Indira Nagar,1541,5,1,12553.72,3
647,Marathahalli,1700,3,2,8547.66,3
648,Jayanagar,1615,1,0,10749.84,5
649,HSR Layout,1726,3,1,11472.07,5
650,Whitefield,1881,1,3,10273.97,5
651,BTM Layout,1353,3,0,5849.3,1
652,BTM Layout,980,5,0,4361.32,4
653,BTM Layout,1332,5,2,7763.9,3
654,Koramangala,1291,5,0,10306.03,2
655,Indira Nagar,1722,1,2,10701.04,5
656,Jayanagar,1707,4,1,12711.68,5
657,BTM Layout,1233,5,3,9085.65,4
658,Koramangala,981,1,2,8877.57,3
659,Indira Nagar,797,4,0,6012.32,1
660,BTM Layout,1662,2,1,12275.84,3
661,Whitefield,1199,5,2,4802.24,3
662,HSR Layout,1919,2,3,14900.13,5
663,Electronic City,1304,2,1,5008.94,1
664,Indira Nagar,1099,3,2,7490.73,1
665,HSR Layout,1477,3,2,8680.23,5
666,Jayanagar,1194,3,2,8160.14,2
667,Koramangala,1229,2,1,7353.18,1
668,Whitefield,1020,2,1,4094.38,4
669,HSR Layout,1684,5,3,10519.23,2
670,HSR Layout,1091,5,2,5445.15,3
671,HSR Layout,1558,3,0,12660.26,1
672,Indira Nagar,1219,3,1,11842.82,3
673,Jayanagar,1361,1,1,9392.84,3
674,Marathahalli,1078,3,1,4861.33,5
675,Indira Nagar,1393,3,0,12678.68,1
676,Indira Nagar,1260,1,1,10830.11,2
677,HSR Layout,1027,5,3,7251.14,1
678,Indira Nagar,911,2,3,5646.24,3
679,Whitefield,1404,2,3,7968.24,1
680,Electronic City,688,5,1,3476.94,1
681,Marathahalli,1339,2,2,5562.67,3
682,Electronic City,1509,5,3,7159.17,3
683,HSR Layout,1072,3,3,8866.66,5
684,Whitefield,1596,5,2,9117.28,5
685,Indira Nagar,1855,1,1,15417.69,4
686,Indira Nagar,828,4,0,4882.86,3
687,Jayanagar,1481,5,1,12216.15,2
688,Jayanagar,1140,5,0,7583.11,5
689,BTM Layout,1657,2,1,7799.4,3
690,Indira Nagar,772,5,2,7347.43,2
691,BTM Layout,938,2,2,4752.59,4
692,Indira Nagar,1041,4,2,6104.01,2
693,Marathahalli,1402,1,2,7089.17,2
694,BTM Layout,1433,1,2,9973.39,3
695,Indira Nagar,637,3,3,4436.49,1
696,Whitefield,1952,5,0,8263.7,5
697,Electronic City,1409,2,1,6214.49,1
698,Koramangala,1419,4,2,11205.14,1
699,Jayanagar,1970,4,0,17221.62,5
700,Marathahalli,1162,2,2,5481.46,1
701,Marathahalli,1331,1,2,5181.83,4
702,Marathahalli,1020,5,2,4282.78,2
703,Electronic City,1620,3,3,5797.69,2
704,Electronic City,1279,4,1,5657.96,3
705,HSR Layout,1385,5,2,8250.37,5
706,Marathahalli,1401,2,0,6180.17,1
707,HSR Layout,1101,4,0,6612.45,2
708,HSR Layout,1138,2,1,9138.75,4
709,Koramangala,1349,2,3,11173.98,3
710,Electronic City,1190,5,3,6011.93,2
711,Jayanagar,1592,4,2,14432.14,3
712,BTM Layout,842,3,1,4004.2,1
713,Koramangala,1585,1,2,15149.98,2
714,HSR Layout,1745,2,2,9761.98,3
715,Whitefield,1778,4,2,12307.59,5
716,Koramangala,1555,5,1,10096.01,2
717,Koramangala,1847,1,0,16630.87,4
718,Electronic City,1205,4,0,5229.05,1
719,HSR Layout,1490,4,0,11887.51,2
720,BTM Layout,948,2,2,4985.26,4
721,BTM Layout,1536,3,0,7510.84,1
722,Jayanagar,1111,5,2,8620.15,1
723,BTM Layout,1351,4,2,7767.18,1
724,HSR Layout,1002,3,1,5506.99,2
725,HSR Layout,708,3,1,3253.58,1
726,Indira Nagar,1031,4,0,9543.08,3
727,Electronic City,1537,2,0,7686.5,4
728,BTM Layout,877,1,1,5976.78,2
729,Jayanagar,1190,2,1,7940.53,4
730,HSR Layout,1547,5,0,9133.26,4
731,Marathahalli,1569,5,0,6318.89,4
732,BTM Layout,1195,3,1,8113.1,2
733,Koramangala,1366,1,1,10703.75,3
734,Koramangala,838,2,1,5594.9,2
735,Marathahalli,701,1,0,3521.07,2
736,Jayanagar,1744,3,1,13409.83,4
737,Indira Nagar,1545,3,1,8880.07,4
738,BTM Layout,1593,1,1,7111.64,1
739,Jayanagar,1572,2,2,8895.8,2
740,Whitefield,1696,4,3,11582.1,5
741,Whitefield,984,5,0,4737.32,1
742,BTM Layout,1217,2,1,6230.46,5
743,Marathahalli,1498,3,0,5387.88,2
744,Electronic City,1236,4,0,5941.13,1
745,Marathahalli,767,5,3,3345.02,1
746,Jayanagar,1457,1,3,7469.09,5
747,Marathahalli,1591,1,2,9222.17,1
748,Indira Nagar,1140,1,3,7302.55,1
749,Koramangala,1842,4,2,17056.3,4
750,Whitefield,1417,2,1,5500.83,5
751,Electronic City,1019,1,2,4459.57,1
752,Marathahalli,1573,4,1,5649.7,2
753,Jayanagar,1454,2,0,12669.79,1
754,Marathahalli,1325,1,1,8491.82,1
755,Electronic City,1204,3,2,6265.83,5
756,Marathahalli,1551,3,1,9220.84,5
757,HSR Layout,736,5,1,4757.02,2
758,Indira Nagar,1080,2,3,10481.03,3
759,Indira Nagar,1813,4,1,16184.46,4
760,BTM Layout,952,2,1,6173.49,2
761,Whitefield,970,5,2,6784.83,3
762,HSR Layout,1381,4,0,11217.16,5
763,Whitefield,1346,5,0,6559.95,5
764,HSR Layout,1408,2,2,10687.48,5
765,Koramangala,775,1,2,6709.88,2
766,Marathahalli,1491,3,2,8551.24,4
767,BTM Layout,1683,5,3,9171.13,3
768,BTM Layout,1087,5,2,7515.84,2
769,BTM Layout,1584,5,1,11285.9,1
770,Whitefield,1290,3,1,5779.02,2
771,Koramangala,965,5,3,6357.03,4
772,Electronic City,1785,5,2,6835.9,3
773,Marathahalli,1616,1,0,5854.64,5
774,Koramangala,1412,3,1,9886.68,5
775,BTM Layout,1710,4,3,12919.77,4
776,Koramangala,1417,2,3,14378.26,3
777,Whitefield,1431,5,2,10096.32,4
778,Marathahalli,1490,2,3,8690.06,2
779,Indira Nagar,869,1,2,7517.83,2
780,BTM Layout,1045,4,1,5240.64,3
781,Whitefield,1840,1,2,8534.77,5
782,Indira Nagar,1400,3,2,11928.3,2
783,HSR Layout,1680,4,1,12229.39,4
784,Indira Nagar,1326,3,1,8672.48,4
785,Marathahalli,1552,2,3,7902.95,2
786,Jayanagar,919,5,0,6824.42,2
787,Marathahalli,1569,3,3,9617.91,4
788,Indira Nagar,1355,2,1,9704.68,5
789,Electronic City,694,1,0,2524.79,1
790,BTM Layout,1057,4,0,4602.65,2
791,Koramangala,1470,1,2,14646.74,3
792,BTM Layout,1206,3,1,5323.58,5
793,Marathahalli,760,4,3,2845.0,1
794,BTM Layout,1825,2,0,9793.75,5
795,Electronic City,1293,1,2,7315.23,4
796,BTM Layout,1321,2,1,6447.18,5
797,HSR Layout,956,1,3,8048.52,4
798,BTM Layout,1813,4,3,8205.85,5
799,Marathahalli,922,1,3,4538.09,2
800,Indira Nagar,1457,2,3,11936.08,4
801,BTM Layout,961,5,3,5106.3,2
802,Whitefield,685,5,1,4481.72,1
803,HSR Layout,1598,5,1,8148.25,2
804,HSR Layout,954,2,0,6365.71,4
805,Koramangala,1669,5,0,11062.91,2
806,Marathahalli,1755,5,0,7953.56,3
807,Electronic City,1597,2,0,8712.59,1
808,Indira Nagar,1638,5,1,11712.21,5
809,Electronic City,1649,1,1,7202.26,2
810,Marathahalli,896,5,1,5595.0,2
811,Whitefield,1206,3,2,7235.41,1
812,Indira Nagar,1601,5,0,14997.07,2
813,Jayanagar,738,4,0,6698.82,2
814,Koramangala,1340,2,2,12623.17,5
815,Marathahalli,889,3,1,4115.73,3
816,HSR Layout,1567,4,2,8814.25,1
817,Marathahalli,1755,5,0,7533.67,3
818,Marathahalli,1024,2,3,6045.59,5
819,BTM Layout,950,3,2,6223.49,2
820,Koramangala,1325,3,3,13752.12,1
821,Koramangala,717,3,0,5085.72,2
822,Jayanagar,1135,3,0,5966.98,5
823,Indira Nagar,1154,2,3,10354.59,3
824,Electronic City,1023,3,1,4092.94,1
825,Whitefield,1776,1,3,10651.47,3
826,Koramangala,1011,5,1,10492.05,5
827,Marathahalli,1383,3,3,7023.98,3
828,Whitefield,1078,1,1,6228.27,2
829,Jayanagar,1583,1,2,9700.45,5
830,Koramangala,982,4,2,9280.54,4
831,Indira Nagar,1292,3,0,11687.54,3
832,HSR Layout,1427,5,0,9290.85,5
833,Marathahalli,944,5,0,4857.58,2
834,Electronic City,1569,2,2,8769.82,2
835,Indira Nagar,1442,2,1,12802.64,3
836,Jayanagar,1106,2,2,7353.02,3
837,Whitefield,1685,5,2,8592.21,4
838,Koramangala,920,4,1,7443.99,4
839,Indira Nagar,1182,5,0,7537.22,4
840,BTM Layout,830,2,3,4854.15,3
841,Indira Nagar,1354,4,0,10060.85,1
842,Electronic City,880,2,0,3234.63,1
843,BTM Layout,1524,1,2,9843.38,2
844,Koramangala,807,4,3,6979.25,3
845,Jayanagar,1590,1,0,13491.41,5
846,Koramangala,620,1,0,5939.17,1
847,BTM Layout,1075,1,3,7438.1,3
848,Electronic City,1938,5,3,7372.6,5
849,BTM Layout,1305,4,0,7351.97,4
850,HSR Layout,1271,4,3,6713.09,4
851,Whitefield,1118,3,1,7918.4,3
852,Marathahalli,1188,1,1,7481.53,2
853,BTM Layout,1716,1,1,10610.88,4
854,Marathahalli,1784,4,3,10996.58,5
855,Koramangala,811,4,2,5761.48,2
856,Koramangala,1044,2,3,7304.66,4
857,Marathahalli,1031,3,2,5591.18,1
858,Marathahalli,1304,4,1,7763.36,1
859,Marathahalli,1151,4,1,6624.8,1
860,Jayanagar,1221,1,0,9794.87,4
861,Marathahalli,1582,3,2,7757.71,2
862,Marathahalli,1788,2,3,10962.91,5
863,HSR Layout,1322,5,1,9275.89,1
864,Electronic City,1571,5,2,6999.85,1
865,HSR Layout,1041,5,3,6195.2,2
866,Koramangala,1072,4,3,9964.62,5
867,BTM Layout,1100,5,1,5281.98,1
868,HSR Layout,1398,4,0,10223.75,5
869,Jayanagar,778,1,0,5894.65,1
870,Whitefield,1501,3,0,6286.83,1
871,Whitefield,1229,3,2,5826.94,2
872,Marathahalli,1610,4,1,8144.8,4
873,Jayanagar,1782,4,1,15621.7,4
874,Koramangala,1900,1,0,14070.31,4
875,HSR Layout,836,3,2,4057.69,3
876,HSR Layout,1293,2,3,7894.97,1
877,HSR Layout,1168,4,3,9240.67,5
878,Indira Nagar,1560,1,0,11566.12,3
879,Electronic City,1314,2,2,5694.44,3
880,Jayanagar,1120,3,1,9890.04,5
881,Koramangala,1637,2,1,11502.96,2
882,BTM Layout,1856,5,0,13799.89,4
883,Jayanagar,1137,4,0,9044.56,4
884,Electronic City,982,2,0,3182.48,4
885,HSR Layout,1954,4,2,10013.79,5
886,HSR Layout,1189,5,2,7117.04,4
887,Marathahalli,1490,5,2,5849.7,3
888,Electronic City,1187,5,3,5220.44,3
889,Indira Nagar,838,3,3,4698.6,2
890,Jayanagar,1377,3,3,12032.84,2
891,HSR Layout,1445,1,3,10730.27,4
892,Whitefield,1045,5,1,6660.28,4
893,BTM Layout,1118,3,2,5680.97,1
894,Whitefield,786,5,1,4593.49,1
895,Jayanagar,1657,1,1,9098.67,4
896,Electronic City,1505,3,0,6707.7,5
897,Marathahalli,1812,5,0,7808.98,4
898,HSR Layout,1098,3,2,5163.72,4
899,Whitefield,1127,2,2,4924.97,4
900,HSR Layout,992,5,2,6241.73,1
901,Jayanagar,1327,5,0,11242.97,4
902,Indira Nagar,1227,2,1,7811.2,5
903,HSR Layout,1317,5,3,8111.43,1
904,HSR Layout,1079,4,3,7601.88,1
905,HSR Layout,723,2,1,3504.84,2
906,Whitefield,1195,5,1,4949.3,5
907,Marathahalli,1533,1,3,7382.09,3
908,Indira Nagar,1720,5,1,12071.87,3
909,Marathahalli,1221,1,2,7809.67,1
910,Jayanagar,1003,1,1,5818.32,1
911,Marathahalli,1319,3,1,8395.91,1
912,Koramangala,1647,2,1,17066.1,2
913,Indira Nagar,746,4,2,4558.03,2
914,BTM Layout,1436,5,0,7926.54,4
915,HSR Layout,1227,5,0,9622.55,2
916,Whitefield,1603,1,1,10215.77,2
917,HSR Layout,1414,3,1,6738.83,4
918,Electronic City,1450,1,2,6897.36,3
919,Jayanagar,1009,3,3,5956.92,5
920,Electronic City,1377,5,0,7747.92,4
921,Jayanagar,1221,5,1,9074.91,3
922,Electronic City,1097,3,2,6269.39,3
923,Koramangala,1932,1,2,11892.01,5
924,BTM Layout,1332,1,0,10167.0,4
925,Electronic City,1068,2,2,3650.42,3
926,Koramangala,1258,4,2,9356.95,4
927,Marathahalli,1480,4,3,5510.45,2
928,HSR Layout,1757,1,3,9033.31,5
929,HSR Layout,1313,3,0,6721.39,1
930,Koramangala,1498,1,2,13078.95,4
931,HSR Layout,1272,4,0,6153.27,2
932,Jayanagar,819,4,3,6946.39,2
933,Indira Nagar,1552,3,2,8792.08,1
934,HSR Layout,1533,2,2,10698.78,1
935,Jayanagar,1650,1,2,14871.83,3
936,Whitefield,1470,2,3,10196.02,2
937,Jayanagar,1675,1,2,11987.72,5
938,Electronic City,1215,4,3,5783.21,3
939,Electronic City,1244,3,0,6134.87,1
940,Jayanagar,1737,2,2,15266.26,5
941,Electronic City,811,5,1,2929.6,2
942,HSR Layout,1127,4,2,5649.05,4
943,Jayanagar,1398,4,1,7444.35,1
944,HSR Layout,1336,4,3,11129.11,5
945,Whitefield,1356,5,0,6273.24,1
946,Koramangala,1122,1,1,8710.49,5
947,HSR Layout,978,2,0,5477.89,2
948,Electronic City,1630,1,2,8548.47,5
949,Marathahalli,1538,3,3,7576.72,2
950,HSR Layout,716,5,2,3495.97,1
951,Indira Nagar,996,4,3,8553.92,1
952,Indira Nagar,1279,2,3,8436.71,3
953,Marathahalli,1575,5,0,9979.23,2
954,HSR Layout,763,1,1,5514.27,1
955,Koramangala,1720,4,2,17109.74,3
956,HSR Layout,1246,2,0,7684.84,1
957,BTM Layout,1397,5,0,10240.77,5
958,Jayanagar,1060,1,3,9169.17,3
959,Electronic City,1362,5,2,7792.16,2
960,HSR Layout,1643,1,3,10497.73,4
961,Koramangala,1215,3,0,8094.0,5
962,BTM Layout,1551,2,3,8551.33,4
963,Jayanagar,1515,1,0,8559.6,4
964,BTM Layout,730,1,3,4905.73,1
965,Marathahalli,1434,2,2,7679.43,5
966,BTM Layout,1347,3,3,6978.15,4
967,HSR Layout,1366,1,2,10357.22,5
968,Jayanagar,794,4,0,4888.29,2
969,Marathahalli,1838,3,0,7102.45,5
970,Marathahalli,1783,2,0,10891.99,3
971,HSR Layout,1583,1,3,12789.44,4
972,Electronic City,1569,3,1,7029.08,4
973,Electronic City,863,5,1,4638.12,2
974,HSR Layout,770,5,3,5631.22,2
975,Marathahalli,786,2,0,3982.24,2
976,Koramangala,1488,4,1,14052.82,3
977,HSR Layout,1108,2,3,8732.62,5
978,Koramangala,1226,5,1,9751.63,5
979,Whitefield,1439,1,1,8555.94,4
980,HSR Layout,1549,4,0,7309.67,3
981,Jayanagar,1117,2,2,8184.11,2
982,HSR Layout,1108,5,3,8737.34,4
983,Koramangala,885,4,0,7490.93,2
984,Jayanagar,1236,3,3,6245.74,2
985,Whitefield,1391,5,0,6094.75,2
986,BTM Layout,1212,1,0,7006.41,2
987,Electronic City,613,1,0,2422.04,1
988,Koramangala,906,4,3,5352.57,1
989,Electronic City,1120,4,2,4240.16,2
990,Marathahalli,1122,1,2,6497.62,2
991,Marathahalli,1579,2,2,6769.76,3
992,Koramangala,1208,5,1,10548.34,4
993,Marathahalli,1411,2,1,8266.48,3
994,Koramangala,1331,4,3,7917.37,2
995,BTM Layout,1721,5,0,10739.41,5
996,Jayanagar,1356,1,3,12267.53,4
997,Marathahalli,1707,2,3,10904.72,3
998,Electronic City,1708,5,1,6296.27,4
999,Koramangala,1743,1,0,9788.36,3
1000,Indira Nagar,1629,5,0,14059.83,4
1001,Indira Nagar,807,3,3,4383.72,3
1002,Indira Nagar,1051,5,0,9980.73,2
1003,HSR Layout,1358,1,0,9182.59,4
1004,Whitefield,1581,4,1,9480.23,1
1005,Jayanagar,1460,5,1,7904.01,4
1006,Electronic City,1290,2,3,7313.44,4
1007,Marathahalli,1403,1,0,8614.77,5
1008,Whitefield,1550,1,2,8463.94,2
1009,Whitefield,1677,5,3,7694.38,3
1010,Marathahalli,1068,4,2,6671.05,4
1011,Electronic City,1073,1,2,4744.42,3
1012,Jayanagar,988,1,3,8606.65,1
1013,Koramangala,1576,1,1,9745.53,5
1014,Jayanagar,1057,4,3,6996.32,4
1015,HSR Layout,1419,1,1,6654.83,5
1016,Electronic City,1206,3,1,4754.38,4
1017,Indira Nagar,1522,2,3,13751.83,5
1018,Whitefield,1597,1,0,10327.4,3
1019,Jayanagar,1716,2,0,11891.51,4
1020,Whitefield,1286,2,1,5365.74,5
1021,Whitefield,1595,5,1,6711.64,3
1022,Electronic City,900,4,3,4003.42,1
1023,Marathahalli,1460,3,0,9215.02,4
1024,Whitefield,1622,4,0,11134.72,3
1025,Koramangala,1132,1,1,8412.08,3
1026,Whitefield,1014,4,2,6809.88,5
1027,Electronic City,1597,4,1,6613.51,4
1028,Marathahalli,1967,2,3,8855.32,5
1029,Electronic City,1290,2,2,4383.85,4
1030,Marathahalli,1377,2,3,7462.52,1
1031,Koramangala,1468,4,1,10354.1,4
1032,Whitefield,1221,1,0,6499.32,1
1033,Jayanagar,945,3,2,7079.39,2
1034,Koramangala,1461,2,2,8416.96,1
1035,Koramangala,900,1,3,8281.96,3
1036,HSR Layout,1745,2,2,8234.39,5
1037,Jayanagar,1149,5,2,6848.84,3
1038,Jayanagar,1024,4,1,5702.38,5
1039,Electronic City,1030,1,1,4217.86,2
1040,Indira Nagar,1351,2,1,12928.68,5
1041,Electronic City,1036,5,2,4200.78,2
1042,Electronic City,999,2,1,3952.29,1
1043,Koramangala,1335,4,3,11591.95,4
1044,Marathahalli,803,1,3,4661.92,1
1045,BTM Layout,1141,4,2,6889.29,1
1046,Whitefield,1162,1,0,4487.06,5
1047,Whitefield,1611,1,1,11139.03,5
1048,Marathahalli,1613,1,0,6650.13,4
1049,Jayanagar,1384,1,2,10423.87,3
1050,Jayanagar,1731,3,1,12961.46,4
1051,Whitefield,757,3,3,3295.4,1
1052,BTM Layout,1662,1,2,7338.71,5
1053,Whitefield,996,3,3,5748.28,3
1054,BTM Layout,1596,2,0,7206.21,5
1055,Marathahalli,1297,4,0,7886.5,3
1056,Indira Nagar,1497,2,2,11368.01,2
1057,Koramangala,1686,4,2,16510.51,4
1058,Electronic City,1752,1,2,7605.72,3
1059,Jayanagar,1557,2,0,10989.45,1
1060,Indira Nagar,1717,5,3,10148.37,4
1061,Whitefield,1653,2,1,11777.79,4
1062,Jayanagar,1726,2,3,14291.43,5
1063,Jayanagar,1555,5,3,8208.83,5
1064,Indira Nagar,1383,1,2,9509.39,2
1065,Jayanagar,1281,4,2,8605.07,1
1066,Whitefield,1132,1,3,5382.25,4
1067,HSR Layout,802,5,2,4035.59,1
1068,Jayanagar,1640,1,0,13028.63,5
1069,Indira Nagar,1221,5,0,10624.03,4
1070,Whitefield,1139,5,2,8057.29,4
1071,BTM Layout,844,2,1,6204.06,3
1072,HSR Layout,1637,2,0,13236.33,3
1073,BTM Layout,919,4,3,5159.65,3
1074,Whitefield,1731,2,2,9025.44,5
1075,Koramangala,1211,5,2,9982.59,2
1076,Marathahalli,1181,2,0,4430.4,4
1077,Indira Nagar,1507,1,0,8625.72,4
1078,Electronic City,1426,2,0,6296.31,5
1079,Indira Nagar,1384,4,1,11712.83,5
1080,Indira Nagar,1652,1,0,15658.55,3
1081,HSR Layout,882,1,3,4108.54,1
1082,Electronic City,985,2,1,5308.21,4
1083,Marathahalli,1700,1,1,10401.24,4
1084,Jayanagar,1474,4,3,9308.82,1
1085,Electronic City,1681,2,3,9182.1,5
1086,Jayanagar,615,3,1,5276.48,1
1087,Indira Nagar,1394,2,2,12756.52,1
1088,Marathahalli,833,3,1,3016.42,3
1089,Electronic City,932,4,1,3149.99,2
1090,Electronic City,1223,3,1,6616.56,4
1091,Indira Nagar,1101,4,2,7781.79,4
1092,Electronic City,1512,3,0,8510.14,4
1093,Marathahalli,731,1,0,3523.05,2
1094,Electronic City,1894,3,3,8415.39,5
1095,BTM Layout,1222,3,2,6151.81,4
1096,HSR Layout,1246,3,2,8118.7,3
1097,Whitefield,1318,4,0,9367.44,2
1098,Jayanagar,1185,4,3,7905.18,2
1099,Marathahalli,1532,3,1,5526.27,1
1100,Whitefield,1596,1,1,7332.18,3
1101,Jayanagar,872,5,1,4613.25,1
1102,Koramangala,1428,5,2,14758.27,2
1103,Jayanagar,1455,3,3,11594.34,1
1104,Electronic City,802,2,0,3456.76,2
1105,Indira Nagar,1301,1,3,12094.27,4
1106,Koramangala,1269,4,2,11750.34,4
1107,Jayanagar,1150,4,3,10422.61,5
1108,HSR Layout,1391,5,3,8591.7,3
1109,Electronic City,1465,4,2,5840.28,4
1110,Koramangala,1155,3,3,9535.66,4
1111,Jayanagar,1176,1,0,8304.46,4
1112,Whitefield,1556,4,0,8255.49,1
1113,Whitefield,862,1,3,5353.96,1
1114,Indira Nagar,1243,5,0,7187.05,5
1115,Whitefield,1626,5,2,11360.71,5
1116,Koramangala,1302,4,1,10485.37,5
1117,Jayanagar,606,3,1,3669.56,1
1118,Whitefield,848,5,3,3728.66,3
1119,Jayanagar,1303,3,0,7035.07,2
1120,Whitefield,1727,2,3,8864.57,4
1121,Indira Nagar,1414,3,2,12428.23,5
1122,Indira Nagar,1197,3,1,10968.63,4
1123,Whitefield,1866,1,3,12782.43,5
1124,Indira Nagar,1430,3,1,13036.38,2
1125,Electronic City,1247,2,3,5502.03,3
1126,Electronic City,689,1,2,3504.97,1
1127,BTM Layout,1695,3,3,12112.93,5
1128,Electronic City,1418,5,2,5221.56,2
1129,HSR Layout,1025,2,3,5147.75,3
1130,HSR Layout,989,3,3,5769.29,2
1131,Marathahalli,1539,3,0,7450.15,4
1132,Jayanagar,1745,5,1,12355.15,3
1133,Koramangala,1809,1,2,11973.38,5
1134,Whitefield,1297,3,2,7029.67,3
1135,Marathahalli,1983,1,1,7323.38,5
1136,Indira Nagar,894,4,3,6770.67,2
1137,Electronic City,968,2,3,3889.29,3
1138,Whitefield,1643,1,1,7422.06,3
1139,Jayanagar,1989,2,3,12341.22,5
1140,Jayanagar,1230,1,1,6878.12,2
1141,Electronic City,1316,2,3,5203.69,1
1142,Electronic City,1147,3,0,6237.39,3
1143,Marathahalli,1171,2,2,7415.45,1
1144,Koramangala,730,4,1,4764.29,2
1145,Marathahalli,1251,5,0,5582.05,3
1146,BTM Layout,1510,4,0,8046.72,2
1147,Jayanagar,922,1,0,8027.97,4
1148,Marathahalli,1343,4,1,6769.24,1
1149,Electronic City,1462,3,1,5191.99,5
1150,BTM Layout,1584,4,3,11241.14,4
1151,Whitefield,808,5,3,5659.87,3
1152,Jayanagar,1355,2,2,8939.75,5
1153,Koramangala,1373,5,0,7952.2,2
1154,BTM Layout,1382,3,1,7997.12,4
1155,Marathahalli,877,2,2,4379.21,2
1156,Indira Nagar,1696,5,0,16458.35,3
1157,Whitefield,1537,2,3,10084.07,3
1158,Koramangala,1561,1,1,9593.55,5
1159,Marathahalli,1113,3,0,4254.39,1
1160,Indira Nagar,1562,1,1,13463.36,2
1161,Marathahalli,1101,5,1,4588.34,5
1162,Marathahalli,1425,4,3,7653.05,1
1163,BTM Layout,987,1,2,7317.33,1
1164,Jayanagar,1454,2,3,13083.16,2
1165,Jayanagar,990,1,3,6270.53,2
1166,HSR Layout,1684,1,0,10202.41,5
1167,BTM Layout,645,4,2,3807.91,1
1168,Whitefield,1462,1,1,9668.16,4
1169,Koramangala,874,1,3,8323.94,3
1170,Whitefield,862,1,2,3710.71,1
1171,Jayanagar,1275,3,3,6372.12,4
1172,BTM Layout,1410,4,3,7713.77,5
1173,HSR Layout,1686,1,1,9821.35,2
1174,Whitefield,1554,3,0,10699.93,5
1175,BTM Layout,791,4,0,4110.91,2
1176,Whitefield,969,5,0,4876.32,1
1177,BTM Layout,1218,3,3,6706.02,1
1178,Whitefield,829,5,1,4993.28,2
1179,Marathahalli,1172,4,0,7141.07,3
1180,Jayanagar,1852,3,0,9185.17,5
1181,Jayanagar,1602,4,2,12896.23,4
1182,BTM Layout,1455,5,3,10424.69,5
1183,Whitefield,1572,1,1,10089.5,4
1184,Electronic City,1734,1,1,5758.03,3
1185,HSR Layout,1179,1,3,9159.86,5
1186,HSR Layout,1029,4,2,5142.49,1
1187,Whitefield,1388,3,1,9742.81,5
1188,Indira Nagar,1440,1,2,12396.11,1
1189,Indira Nagar,1100,4,2,8606.29,4
1190,HSR Layout,1170,3,1,6667.0,2
1191,Marathahalli,1505,5,3,6745.16,1
1192,Whitefield,1281,1,2,8915.2,2
1193,Marathahalli,1310,4,0,4890.44,4
1194,Marathahalli,1603,3,3,7088.92,4
1195,Whitefield,867,5,2,5071.18,2
1196,HSR Layout,1146,1,1,5479.56,1
1197,HSR Layout,1180,1,0,6404.4,3
1198,Electronic City,1173,5,2,6763.29,1
1199,Marathahalli,1092,1,3,5733.54,5
1200,Whitefield,1060,2,0,4265.86,1
1201,Whitefield,1818,2,0,12075.41,5
1202,Whitefield,1011,4,2,5688.36,5
1203,Marathahalli,1299,1,1,6332.75,3
1204,Whitefield,1659,4,3,11106.77,3
1205,Jayanagar,1384,3,2,8236.13,2
1206,Jayanagar,1874,1,3,12034.86,4
1207,Whitefield,1577,1,2,10919.8,2
1208,BTM Layout,1538,4,0,6964.93,2
1209,Electronic City,1523,4,1,4849.48,2
1210,Marathahalli,1534,2,3,5970.05,3
1211,Koramangala,1165,2,0,6893.18,2
1212,Electronic City,861,1,3,3409.35,1
1213,Indira Nagar,1737,3,2,14540.66,3
1214,Indira Nagar,677,3,1,5974.97,1
1215,Marathahalli,1324,4,2,4651.74,2
1216,Jayanagar,1091,5,1,7528.8,1
1217,Electronic City,1564,4,1,5946.69,1
1218,BTM Layout,1589,5,2,7440.23,5
1219,Marathahalli,808,1,2,4390.02,3
1220,Whitefield,1393,3,3,9439.24,5
1221,Electronic City,1110,3,1,4321.85,2
1222,Indira Nagar,1246,1,2,8029.97,2
1223,Whitefield,1635,1,0,6754.57,2
1224,HSR Layout,1527,2,3,10465.75,3
1225,BTM Layout,1057,1,1,4688.27,4
